12,Sheelagh,220,18000
13,Gayle,120,30000
14,Kimberlee,60,33000
15,Henrieta,90,30000
16,Jeanine,325,18000
17,Aggie,75,15000
18,Brandea,180,15000
19,Cordelie,325,50000
20,Shel,120,50000
21,Bronnie,60,20000
23,Iver,90,12000
24,Ernesta,60,37000
25,Cirillo,88,50000
26,Park,120,30000
27,Bellanca,88,15000
28,Bobbye,180,15000
29,Eugene,88,50000
30,Johnny,325,33000
31,Reagen,90,42000
32,Braden,180,25000
33,Karim,75,25000
34,Anthea,90,42000
35,Doro,120,33000
36,Gaye,120,37000
37,Toby,180,15000
38,Franny,325,15000
39,Katey,180,42000
40,Earle,90,10000
41,Redd,88,42000
42,Jehanna,220,50000
43,Cristie,180,10000
44,Stefa,88,42000
45,Roda,90,25000
46,Alfredo,88,10000
47,Sydney,75,10000
48,Brnaba,180,30000
49,Ame,88,50000
50,Bradney,88,25000
51,Margarete,120,50000
52,Nikoletta,120,50000
53,Lonnard,75,50000
54,Raine,180,30000
55,Noella,120,15000
56,Dagmar,88,25000
57,Carroll,220,42000
58,Marion,88,50000
59,Carline,220,12000
60,Hyacinthie,75,15000
61,Julina,120,33000
62,Corina,220,37000
63,Bernardine,75,33000
64,Homer,180,18000
65,Lianna,220,12000
66,Celene,120,50000
67,Kori,90,50000
68,Deeyn,88,20000
69,Marysa,75,20000
70,Loy,120,15000
71,Gabbey,120,37000
72,Star,90,33000
73,Dominica,120,33000
74,Blanch,75,15000
75,Cristobal,120,15000
76,Paulita,120,50000
77,Sayre,180,33000
78,Shaughn,90,15000
79,Katrine,90,25000
80,Cristi,88,42000
81,Cristie,90,25000
82,Solomon,90,10000
83,Nananne,120,33000
84,Sacha,90,25000
85,Morse,180,25000
86,Roland,180,25000
87,Jesselyn,180,30000
88,Kylila,325,12000
89,Kendre,180,25000
90,Lesya,90,15000
91,Tatiania,120,20000
92,Trenton,88,12000
93,Angie,90,20000
94,Joelle,90,37000
95,George,60,30000
96,Guenevere,90,30000
97,Margaretha,75,10000
98,Sully,60,15000
99,Lonni,220,50000
100,Nicky,180,42000
102,Kyrstin,90,37000
103,Martino,75,15000
104,Marcellus,88,50000
105,Jacquelin,120,30000
106,Aleda,90,50000
107,Georgeta,88,10000
108,Marcille,88,10000
109,Ertha,88,10000
110,Desiri,120,25000
111,Geneva,90,33000
112,Kilian,120,42000
113,Nance,75,10000
114,Gaven,180,10000
115,Carlie,220,10000
116,Trixie,325,42000
117,Dominick,75,30000
118,Petey,120,15000
119,Tersina,75,30000
120,Johnathon,90,15000
121,Freddie,180,12000
122,Harmon,220,50000
123,Tracey,75,20000
124,Cherrita,180,33000
125,Stu,60,12000
126,Glenda,220,37000
127,Lorettalorna,220,25000
128,Patrizio,60,15000
129,Linda,88,30000
130,Pippa,325,20000
131,Pen,60,18000
132,Esteban,88,15000
133,Fonzie,325,15000
134,Cindelyn,60,12000
135,Zacharie,75,30000
136,Vina,88,42000
137,Omero,75,10000
138,Tom,75,33000
139,Dante,60,30000
140,Cordy,120,18000
141,Stephenie,220,50000
142,Dunstan,325,20000
143,Gideon,180,15000
144,Johnette,220,10000
